id,name,external_id,external_id_type,entity_type,place_id,province_id,autonomous_region_id,dir3,ute_id,administration_level,parent_id,nifs,custom_place_id,is_contractor,is_assignee,slug,address,postal_code,country_name,country_code,place_name,import_pending
74322,"Consejería Delegada de Promoción Exterior de Lanzarote, S.A.",,,0,35017,35,5,LA0010656,,,,{A35955798},,t,f,consejeradelegadadepromocinexteriordelanzarotesa,Calle Triana Número 38,35500,España,ES,Puerto del Rosario,f
11864,Dirección de la Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado (GIESE),,,,28079,28,13,E00130401,,,,{Q2801011D},,t,f,direccindelagerenciadeinfraestructurasyequipamientodelaseguridaddelestadogiese,Evaristo San Miguel 8,28008,España,ES,Madrid,f
11775,Presidencia de la Mancomunidad de Municipios de la Costa del Sol-Axarquia,,,,29094,29,1,L05290002,,,,{P2909401H},,t,f,presidenciadelamancomunidaddemunicipiosdelacostadelsolaxarquia,"Avda. Andalucía, 110",29740,España,ES,Vélez-Málaga,f
12000,Junta de Gobierno de la Mancomunidad de la Margen Izquierda y Zona Minera,,,,48078,48,16,L05480002,,,,{P4800002J},,t,f,juntadegobiernodelamancomunidaddelamargenizquierdayzonaminera,"Parque Ignacio Ellacuría, 2",48920,España,ES,Portugalete,f
13117,Dirección de la Fundación Centro para la Memoria de las Víctimas del Terrorismo,,,,1059,1,16,EA0009551,,,,{G87348934},,t,f,direccindelafundacincentroparalamemoriadelasvctimasdelterrorismo,"Olaguibel, 1",1071,España,ES,Vitoria-Gasteiz,f
13759,Comandancia Guardia Civil de Burgos,,,,9059,9,7,E04672303,,,,{S0916004E},,t,f,comandanciaguardiacivildeburgos,"Glorieta de Logroño, 3",9007,España,ES,Burgos,f
43875,Alcaldía del Ayuntamiento de El Cerro de Andévalo,,,4,21023,21,1,L01210237,,,,{P2102300G},,t,f,alcaldadelayuntamientodeelcerrodeandvalo,"Plaza España, 1",21320,España,ES,"Cerro de Andévalo, El",f
13313,"Gerencia del Instituto para la Transición Justa, O. A.",,,,28079,28,13,EA0033870,,,,{Q7855062A},,t,f,gerenciadelinstitutoparalatransicinjustaoa,"Pº Castellana 160, 7ª planta",28046,España,ES,Madrid,f
14222,Dirección del Centro Penitenciario de Albacete,,,,2003,2,8,E03118101,,,,{S0213003G},,t,f,direccindelcentropenitenciariodealbacete,Carretera de Ayora Km. 4,2008,España,ES,Albacete,f
44370,Alcalde del Ayuntamiento de Pradilla de Ebro,,,4,50217,50,2,L01502170,,,,{P5021800G},,t,f,alcaldedelayuntamientodepradilladeebro,"Plazajuan Carlos I , 1",50668,España,ES,Pradilla de Ebro,f
